seconds,x,y
1304.0,1,62
1305.0,1,62
1306.0,1,62
1307.0,1,62
1308.0,1,62
1309.0,1,62
1310.0,1,62
1311.0,1,62
1312.0,1,62
1313.0,1,63
1314.0,1,63
1315.0,1,63
1316.0,1,63
1317.0,1,62
1318.0,1,62
1319.0,1,62
1320.0,1,62
1321.0,1,63
1322.0,1,63
1323.0,1,63
1324.0,1,63
1325.0,1,63
1326.0,1,63
1327.0,1,63
1328.0,1,63
1329.0,1,63
1330.0,1,63
1331.0,1,63
1332.0,1,63
1333.0,1,63
1334.0,1,63
1335.0,1,63
1336.0,1,63
1337.0,1,63
1338.0,1,63
1339.0,1,63
1340.0,1,63
1341.0,1,63
1342.0,1,63
1343.0,1,63
1344.0,1,63
1345.0,1,63
1346.0,1,63
1347.0,1,63
1348.0,1,63
1349.0,1,63
1350.0,1,63
1351.0,1,63
1352.0,1,63
1353.0,1,63
1354.0,1,63
1355.0,1,63
1356.0,1,63
1357.0,1,63
1358.0,1,63
1359.0,1,63
1360.0,1,63
1361.0,1,63
1362.0,1,63
1363.0,1,63
1364.0,1,63
1365.0,1,63
1366.0,1,63
1367.0,1,63
1368.0,1,63
1369.0,1,63
1370.0,1,63
1371.0,1,63
1372.0,0,67
1373.0,1,63
1374.0,1,63
1375.0,1,63
1376.0,1,63
1377.0,1,63
1378.0,1,63
1379.0,1,63
1380.0,0,67
1381.0,0,67
1382.0,0,67
1383.0,0,67
1384.0,0,67
1385.0,0,67
1386.0,0,67
1387.0,0,67
1388.0,0,67
1389.0,35,0
1390.0,35,0
1391.0,0,67
1392.0,35,0
1393.0,35,0
1394.0,35,0
1395.0,35,0
1396.0,35,0
1397.0,1,62
1398.0,35,0
1399.0,35,0
1400.0,1,62
1401.0,1,62
1402.0,1,62
1403.0,1,62
1404.0,35,0
1405.0,1,62
1406.0,1,62
1407.0,1,62
1408.0,1,62
1409.0,1,62
1410.0,1,62
1411.0,1,62
1412.0,1,62
1413.0,1,62
1414.0,1,62
1415.0,1,62
1416.0,1,62
1417.0,1,62
1418.0,1,62
1419.0,1,62
1420.0,1,62
1421.0,1,62
1422.0,1,62
1423.0,1,62
1424.0,1,62
1425.0,1,62
1426.0,35,0
1427.0,35,0
1428.0,1,62
1429.0,35,0
1430.0,35,0
1431.0,1,63
1432.0,35,0
1433.0,1,63
1434.0,35,0
1435.0,35,0
1436.0,35,0
1437.0,0,67
1438.0,0,67
1439.0,1,63
1440.0,0,67
1441.0,35,0
1442.
